Name,Address,Latitude,Longitude,Phone,Donate,Volunteer
北京市疾病预防控制中心,中国北京市东城区安定门和平里中街16号,39.92466,116.454643,010-64212461,,
东城区疾病预防控制中心,中国北京市东城区北兵马司胡同5号,39.936537,116.406687,010-64040807,,
西城区疾病预防控制中心,中国北京市西城区德胜门外大街38号,39.952945,116.379904,010-82061846,,
朝阳区疾病预防控制中心,中国北京市朝阳区华威路华威里25,39.874078,116.456583,010-87789709,,
海淀区疾病预防控制中心,中国北京市海淀区西北旺二街5,39.973195,116.305474,010-62879811,,
丰台区疾病预防控制中心,中国北京市丰台区西安街3号,39.847201,116.27868,010-63811956,,
石景山区疾病预防控制中心,中国北京市石景山区体育场南路6号院2号,39.903321,116.20829,010-68661748,,
门头沟区疾病预防控制中心,中国北京市门头沟区城子东街,39.95259,116.102194,010-69843156,,
房山区疾病预防控制中心,中国北京市房山区白杨东路,39.710371,116.15152,010-61355907,,
通州区疾病预防控制中心,中国北京市通州区玉带河西街潞河中学北街1号,39.900864,116.652312,010-69543000,,
顺义区疾病预防控制中心,中国北京市顺义区光明南街1号,40.129743,116.656231,010-69443268,,
大兴区疾病预防控制中心,中国北京市大兴区兴政街17号,39.732214,116.334432,010-69243653,,
昌平区疾病预防控制中心,中国北京市昌平区鼓楼北街7号,40.227652,116.232261,010-69742645,,
怀柔区疾病预防控制中心,中国北京市怀柔区北街富乐小区北里23号,40.335271,116.630902,010-69623215,,
平谷区疾病预防控制中心,中国北京市平谷区府前街25号,40.140705,117.114612,010-69962675,,
密云区疾病预防控制中心,中国北京市密云区新西路50号,40.380711,116.835397,010-69044269,,
延庆区疾病预防控制中心,中国北京市延庆区百泉路39号,40.437131,115.96318,010-69187731,,
海关总署（北京）国际旅行卫生保健中心,中国北京市东城区安定门和平里北街20号‎,39.958862,116.412631,010-64274239,,
北京博奥医学检验所,北京市大兴区科创六街88号院,39.800781,116.542781,400-9968-999,,
北京爱普益医学检验中心,北京经济技术开发区地盛东路1号院,39.800781,116.542781,010-59773700,,
北京华诺奥美医学检验实验室,北京市丰台区广场南三路外环西路26号院53号楼,39.822844,116.280397,18618168126,,
北京金域医学检验实验室,北京市朝阳区京顺东街6号院26号,40.024951,116.52943,13311560170,,
北京凯普医学检验实验室,北京市昌平区中关村生命科学园生命园路8号北大医疗产业园15号楼一层东侧,40.09876,116.268959,010-56918025,,
北京优讯医学检验实验室,杏石口路65号益园文化创意产业基地C区7号楼,39.95106,116.23503,4006881555,,
北京谱尼医学检验实验室,北京市海淀区锦带路66号院1号楼5层101,40.064,116.165765,010-83055000,,
北京迪安医学检验实验室,北京市大兴区永旺路北京生物与医药产业基地天富大街9号8栋,39.681634,116.30037,4007118000,,
中国医学科学院北京协和医院,中国北京市东城区东单帅府园1号北京协和医院,39.912345,116.415962,010-69159170,,
中日友好医院,北京市朝阳区樱花园东街2号,39.97407,116.42692,010-84206257,,
北京医院,中国北京市东城区大华路1号,39.903864,116.415048,010-85138510,,
北京人民大学医院,中国北京市西城区西直门南大街11号,39.967753,116.311371,010-88325509,,
北京大学第一医院,中国北京市西城区西什库大街8号,39.932022,116.380637,010-83572345,,
北京大学第三医院,中国北京市海淀区花园北路49号,39.982674,116.360042,010-82265000,,
解放军总医院第五医学中心,中国北京市丰台区东大街8号,39.885023,116.278264,010-63912999,,
首都医科大学附属北京佑安医院,中国北京市丰台区右安门外西头条8号,39.866412,116.355417,010-63292123,,
首都医科大学附属北京地坛医院,中国北京市朝阳区京顺东街8号,40.022228,116.520598,010-84322566,,
首都医科大学附属北京朝阳医院,中国北京市朝阳区工人体育场南路8号,39.924024,116.448396,18514771316,,
首都医科大学附属北京友谊医院,中国北京市西城区永安路36号,39.884288,116.387179,010-63016616,,
首都医科大学附属北京天坛医院,中国北京市东城区天坛西里6号,39.831332,116.30893,010-59978585,,
首都医科大学附属北京安贞医院,中国北京市朝阳区安贞路2号,39.971036,116.396222,010-84005488,,
北京小汤山医院,中国北京市昌平区秦上路小汤山镇,40.179118,116.390841,010-61789946,,
首都医科大学附属北京儿童医院,中国北京市西城区东华门南礼士路56号,39.912185,116.3527093,010-60646161,,
首都儿研所附属儿童医院,中国北京市朝阳区雅宝路2号,39.91327523,116.4342189,010-85613495,,
首都医科大学附属北京潞河医院,中国北京市通州区新华南路82号,39.90013,116.65378,010-69543901,,
北京市房山区良乡医院,中国北京市房山区,39.736445,116.13999,010-81356295,,
北京市昌平区医院,中国北京市昌平区鼓楼北街9号,40.226933,116.231927,010-80115737,,
北京市顺义区医院,中国北京市顺义区府前街,40.128324,116.656053,010-69423220,,
